"Piwik API","Piwik API"
"Tracking API","API för spårning"
"Enable Tracking","Aktivera spårning"
"Yes","Ja"
"No","Nej"
"Hostname","Värdnamn"
"Piwik hostname, optionally including a path e.g. piwik.example.com or example.com/piwik","Piwik-värdnamn, alternativt inkluderande sökväg t.ex. piwik.example.com eller example.com/piwik"
"Site ID","Webbplatsens ID"
"Listed under Settings/Website in your Piwik administration panel","Finns att hitta under Inställningar/Webbplatser i Piwiks administrationspanel"
"Enable Link Tracking","Aktivera länkspårning"
"Enable tracking of outlinks and downloads","Aktivera spårning av utlänkar och nedladdningar"
"Link Tracking Timer","Länkspårningstimer"
"Delay for link tracking in milliseconds","Fördröjning av länkspårning i millisekunder"
